localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
engativa;2015;50 a 54;Mujer;0;Adulto;;
engativa;2015;55 a 59;Mujer;0;Adulto;;
engativa;2015;60 a 64;Mujer;1;Adulto Mayor;;
engativa;2015;65 a 69;Mujer;0;Adulto Mayor;;
engativa;2015;70 a 74;Mujer;0;Adulto Mayor;;
engativa;2015;75 a 79;Mujer;0;Adulto Mayor;;
engativa;2015;80 y más;Mujer;0;Adulto Mayor;;
engativa;2015;Todos los grupos;Mujer;11;;455865.0;2.4129950752964144
suba;2015;05 a 09;Hombre;0;Niño;;
suba;2015;10 a 14;Hombre;1;Niño;;
suba;2015;15 a 17;Hombre;1;Joven;;
suba;2015;18 a 19;Hombre;0;Joven;;
suba;2015;20 a 24;Hombre;3;Joven;;
suba;2015;25 a 29;Hombre;0;Adulto;;
suba;2015;30 a 34;Hombre;5;Adulto;;
suba;2015;35 a 39;Hombre;5;Adulto;;
suba;2015;40 a 44;Hombre;3;Adulto;;
suba;2015;45 a 49;Hombre;2;Adulto;;
suba;2015;50 a 54;Hombre;2;Adulto;;
suba;2015;55 a 59;Hombre;2;Adulto;;
suba;2015;60 a 64;Hombre;0;Adulto Mayor;;
suba;2015;65 a 69;Hombre;0;Adulto Mayor;;
suba;2015;70 a 74;Hombre;1;Adulto Mayor;;
suba;2015;75 a 79;Hombre;1;Adulto Mayor;;
suba;2015;80 y más;Hombre;0;Adulto Mayor;;
suba;2015;Todos los grupos;Hombre;26;;557588.0;4.66294109629332
suba;2015;05 a 09;Mujer;0;Niño;;
suba;2015;10 a 14;Mujer;1;Niño;;
suba;2015;15 a 17;Mujer;0;Joven;;
suba;2015;18 a 19;Mujer;1;Joven;;
suba;2015;20 a 24;Mujer;1;Joven;;
suba;2015;25 a 29;Mujer;3;Adulto;;
suba;2015;30 a 34;Mujer;1;Adulto;;
suba;2015;35 a 39;Mujer;1;Adulto;;
suba;2015;40 a 44;Mujer;4;Adulto;;
suba;2015;45 a 49;Mujer;0;Adulto;;
suba;2015;50 a 54;Mujer;0;Adulto;;
suba;2015;55 a 59;Mujer;0;Adulto;;
suba;2015;60 a 64;Mujer;0;Adulto Mayor;;
suba;2015;65 a 69;Mujer;0;Adulto Mayor;;
suba;2015;70 a 74;Mujer;1;Adulto Mayor;;
suba;2015;75 a 79;Mujer;0;Adulto Mayor;;
suba;2015;80 y más;Mujer;2;Adulto Mayor;;
suba;2015;Todos los grupos;Mujer;15;;617148.0;2.430535301094713
teusaquillo;2015;05 a 09;Hombre;0;Niño;;
teusaquillo;2015;10 a 14;Hombre;1;Niño;;
